date,city,country,latitude,longitude,temp_max_c,temp_min_c,temp_mean_c,precipitation_mm,wind_max_kmh,humidity_pct
2015-01-01,Paris,Europe,48.86,2.35,1.4,-3.2,-0.7,0.0,20.0,95
2015-01-02,Paris,Europe,48.86,2.35,9.9,-0.1,4.9,1.1,22.9,88
2015-01-03,Paris,Europe,48.86,2.35,12.0,-1.8,6.2,3.9,31.9,95
2015-01-04,Paris,Europe,48.86,2.35,9.5,1.4,4.0,0.9,15.5,91
2015-01-05,Paris,Europe,48.86,2.35,4.3,-2.8,0.3,0.0,8.1,94
2015-01-06,Paris,Europe,48.86,2.35,5.5,-3.6,1.0,0.0,13.0,93
2015-01-07,Paris,Europe,48.86,2.35,5.1,-1.4,3.0,0.0,15.3,97
2015-01-08,Paris,Europe,48.86,2.35,10.2,4.9,7.9,3.7,33.5,92
2015-01-09,Paris,Europe,48.86,2.35,12.5,5.8,9.6,0.7,31.8,90
2015-01-10,Paris,Europe,48.86,2.35,12.5,6.8,11.1,2.4,30.0,85
2015-01-11,Paris,Europe,48.86,2.35,8.2,4.3,6.1,0.0,26.5,76
2015-01-12,Paris,Europe,48.86,2.35,9.0,5.7,7.2,0.0,28.2,76
2015-01-13,Paris,Europe,48.86,2.35,11.0,7.2,9.1,1.3,34.9,81
2015-01-14,Paris,Europe,48.86,2.35,7.8,4.5,6.3,2.5,30.1,82
2015-01-15,Paris,Europe,48.86,2.35,10.3,6.5,8.7,3.2,40.5,80
2015-01-16,Paris,Europe,48.86,2.35,8.6,3.9,5.8,3.1,13.7,88
2015-01-17,Paris,Europe,48.86,2.35,5.5,-1.5,2.2,0.0,14.7,86
2015-01-18,Paris,Europe,48.86,2.35,6.8,0.6,2.9,0.0,18.4,84
2015-01-19,Paris,Europe,48.86,2.35,4.1,-0.1,2.2,1.6,15.3,89
2015-01-20,Paris,Europe,48.86,2.35,3.1,-1.2,0.5,0.0,10.7,89
2015-01-21,Paris,Europe,48.86,2.35,5.0,-0.8,1.3,0.0,12.8,83
2015-01-22,Paris,Europe,48.86,2.35,3.2,-2.2,0.5,0.0,14.4,84
2015-01-23,Paris,Europe,48.86,2.35,1.6,-1.5,-0.2,0.0,11.6,82
2015-01-24,Paris,Europe,48.86,2.35,5.7,-1.6,1.8,3.4,24.3,84
2015-01-25,Paris,Europe,48.86,2.35,6.6,-2.3,1.8,0.0,10.1,90
2015-01-26,Paris,Europe,48.86,2.35,8.2,3.3,6.0,2.6,19.0,91
2015-01-27,Paris,Europe,48.86,2.35,7.1,1.7,3.9,0.1,14.3,89
2015-01-28,Paris,Europe,48.86,2.35,8.1,1.1,4.8,1.6,30.8,89
2015-01-29,Paris,Europe,48.86,2.35,5.6,2.0,3.8,6.0,29.5,90
2015-01-30,Paris,Europe,48.86,2.35,4.9,-0.6,2.0,1.6,26.2,87
2015-01-31,Paris,Europe,48.86,2.35,4.9,-0.8,2.0,1.8,20.1,89
2015-02-01,Paris,Europe,48.86,2.35,4.5,0.5,2.3,0.9,23.7,84
2015-02-02,Paris,Europe,48.86,2.35,3.5,-1.6,1.1,0.4,14.4,78
2015-02-03,Paris,Europe,48.86,2.35,3.5,-2.1,0.2,0.2,11.6,74
2015-02-04,Paris,Europe,48.86,2.35,4.5,-1.8,0.9,0.0,23.8,81
2015-02-05,Paris,Europe,48.86,2.35,2.9,-1.4,0.5,0.0,22.7,78
2015-02-06,Paris,Europe,48.86,2.35,2.2,-2.8,-0.7,0.0,29.9,63
2015-02-07,Paris,Europe,48.86,2.35,4.4,-2.7,0.5,0.0,23.4,64
2015-02-08,Paris,Europe,48.86,2.35,6.5,0.7,4.3,0.1,27.7,79
